City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,altamont,42.2068,-121.7372,28.83,26,0,6.17,US,1722212142
84,port saint john's,-31.6229,29.5448,13.57,28,0,4.96,ZA,1722212143
85,krasnoarmeysk,51.0239,45.6969,18.89,51,16,4.29,RU,1722212144
86,sarikei,2.1167,111.5167,26.5,79,69,0.3,MY,1722212145
87,kill devil hills,36.0307,-75.676,24.43,69,0,0.0,US,1722212146
88,wailua homesteads,22.0669,-159.378,27.44,76,100,5.14,US,1722212148
89,touros,-5.1989,-35.4608,24.38,85,2,6.33,BR,1722212149
90,fort mcmurray,56.7268,-111.381,28.77,39,20,0.51,CA,1722212150
91,cabo san lucas,22.8909,-109.9124,34.23,51,40,5.66,MX,1722212129
92,brumado,-14.2036,-41.6653,22.54,68,10,3.77,BR,1722211944
93,tehachapi,35.1322,-118.449,30.02,25,0,4.92,US,1722212155
94,port macquarie,-31.4333,152.9167,14.38,43,9,2.24,AU,1722212156
95,ola,59.5833,151.2833,18.04,54,29,2.89,RU,1722212157
96,port lincoln,-34.7333,135.8667,10.13,64,98,5.49,AU,1722212158
97,robertsport,6.7533,-11.3686,24.93,88,90,5.07,LR,1722212159
98,isafjordur,66.0755,-23.124,7.84,96,100,2.69,IS,1722212160
99,castillos,-34.1667,-53.8333,6.89,67,95,3.19,UY,1722212163
100,itacare,-14.2775,-38.9967,22.53,90,30,2.36,BR,1722212165
101,aykhal,66.0,111.5,14.55,72,52,6.44,RU,1722212166
102,praia da vitoria,38.7333,-27.0667,25.14,88,40,2.14,PT,1722212167
103,hermanus,-34.4187,19.2345,9.33,86,59,2.84,ZA,1722212168
104,amahai,-3.3333,128.9167,26.17,82,83,1.12,ID,1722212169
105,coquimbo,-29.9533,-71.3436,11.85,87,0,1.54,CL,1722212051
106,ust-nera,64.5667,143.2,19.38,43,100,3.56,RU,1722212171
107,novyy urengoy,66.0833,76.6333,18.1,67,36,6.76,RU,1722211879
108,island harbour,50.724,-1.2758,16.23,69,1,3.58,GB,1722212173
109,east london,-33.0153,27.9116,12.09,47,2,8.34,ZA,1722212174
110,chui,-33.6971,-53.4616,7.71,69,54,4.0,UY,1722212176
111,newman,37.3138,-121.0208,33.13,16,0,2.86,US,1722212177
112,invercargill,-46.4,168.35,8.34,100,100,1.79,NZ,1722212178
113,cole harbour,44.6724,-63.4751,19.66,80,63,2.57,CA,1722212179
114,ulladulla,-35.35,150.4667,10.98,50,35,8.96,AU,1722212182
115,nar'yan-mar,67.6713,53.087,12.19,92,96,4.97,RU,1722212183
116,puerto natales,-51.7236,-72.4875,1.44,86,50,3.88,CL,1722212184
117,tahe,52.3333,124.7333,26.22,46,3,0.44,CN,1722212186
118,flying fish cove,-10.4217,105.6791,24.82,83,75,6.17,CX,1722212187
119,tura,25.5198,90.2201,24.89,95,99,1.93,IN,1722212188
120,campo verde,-20.4167,-54.0667,23.99,24,0,2.22,BR,1722212189
121,kidal,18.4411,1.4078,28.64,51,100,0.94,ML,1722212192
122,margate,51.3813,1.3862,16.84,84,25,3.98,GB,1722212193
123,nuku'alofa,-21.1333,-175.2,23.19,56,20,5.66,TO,1722212195
124,saint-pierre,-21.3393,55.4781,19.82,60,0,4.12,RE,1722212196
125,ha tinh,18.3333,105.9,26.14,89,100,1.51,VN,1722212197
126,cidreira,-30.1811,-50.2056,15.89,96,100,3.67,BR,1722212198
127,ordynskoye,54.3656,81.8994,17.06,92,21,2.15,RU,1722212199
128,puerto ayora,-0.7393,-90.3518,19.75,93,38,1.79,EC,1722212200
129,bilimbay,56.9689,59.8149,10.33,99,100,3.68,RU,1722212203
130,makoua,0.0069,15.6333,24.98,68,95,1.44,CG,1722212204
131,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,71,75,4.0,RU,1722212205
132,doctor juan leon mallorquin,-25.4,-55.2667,16.85,88,77,1.67,PY,1722212206
133,sao jose da coroa grande,-8.8978,-35.1478,24.31,86,38,4.68,BR,1722212207
134,yagoua,10.3411,15.2329,23.05,94,100,2.34,CM,1722212208
135,gadani,25.1185,66.7299,30.12,86,92,1.7,PK,1722212209
136,guerrero negro,27.9769,-114.0611,22.67,68,65,9.32,MX,1722212211
137,karratha,-20.7377,116.8463,18.59,19,0,3.53,AU,1722212212
138,lata,40.1629,-8.3327,20.6,65,68,1.32,PT,1722212213
139,san agustin de valle fertil,-30.6335,-67.4682,8.04,48,73,2.41,AR,1722212214
140,puerto santa,-8.9906,-78.6456,16.95,86,19,4.44,PE,1722212215
141,pizarro,4.9533,-77.366,26.89,88,65,3.85,CO,1722212216
142,ushuaia,-54.8,-68.3,-1.19,69,40,4.12,AR,1722212217
143,vorkuta,67.5,64.0,14.79,88,96,5.33,RU,1722212218
144,margaret river,-33.95,115.0667,16.46,56,100,7.07,AU,1722212219
145,chernyshevskiy,63.0128,112.4714,18.91,73,20,3.26,RU,1722212221
146,nova vicosa,-17.8919,-39.3719,23.59,75,58,3.53,BR,1722212222
147,ierapetra,35.01,25.7353,27.3,56,0,4.47,GR,1722212223
148,punta arenas,-53.15,-70.9167,1.06,86,75,4.63,CL,1722211653
149,gorom-gorom,14.4439,-0.2361,25.05,76,73,1.65,BF,1722212226
150,montbard,47.5833,4.5,14.8,87,0,1.62,FR,1722212227
151,bulgan,48.8125,103.5347,17.98,79,93,0.86,MN,1722212228
152,mccomb,31.2438,-90.4531,30.93,62,0,1.54,US,1722212229
153,ketchikan,55.3422,-131.6461,17.41,82,75,2.06,US,1722212233
154,newton,42.337,-71.2092,23.14,68,0,3.09,US,1722212032
155,mount isa,-20.7333,139.5,15.87,39,3,7.2,AU,1722212236
156,mata-utu,-13.2816,-176.1745,25.52,57,89,9.09,WF,1722212237
157,kavaratti,10.5669,72.642,28.1,85,95,10.48,IN,1722212238
158,akrehamn,59.2667,5.1833,13.89,75,19,3.42,NO,1722212239
159,crane,31.3974,-102.3501,34.04,25,1,8.34,US,1722212242
160,lihue,21.9789,-159.3672,27.77,71,100,5.14,US,1722212243
161,chardara,41.2547,67.9692,24.24,34,0,5.01,KZ,1722212244
162,callao,-12.0667,-77.15,17.07,82,75,1.03,PE,1722212245
163,erenhot,43.6475,111.9767,25.35,44,83,4.02,CN,1722212246
164,choyr,46.3611,108.3611,21.08,63,70,0.24,MN,1722212247
165,at taj,24.2049,23.2857,28.74,23,0,4.12,LY,1722212249
166,greymouth,-42.4667,171.2,10.17,94,100,5.2,NZ,1722212250
167,geraldton,-28.7667,114.6,16.23,88,100,4.63,AU,1722212252
168,aleksandrovsk-sakhalinskiy,50.8975,142.1561,17.46,97,100,2.67,RU,1722212253
169,pangkalpinang,-2.1333,106.1333,25.64,82,42,2.77,ID,1722212254
170,alofi,-19.0595,-169.9187,22.94,56,40,6.69,NU,1722212255
171,spinazzola,40.9671,16.0916,24.48,36,0,1.56,IT,1722212256
172,maintirano,-18.0667,44.0167,20.13,80,0,2.64,MG,1722212257
173,port alfred,-33.5906,26.891,8.99,71,32,1.34,ZA,1722212259
174,klyuchi,52.2667,79.1667,19.07,67,53,3.67,RU,1722212260
175,hadibu,12.65,54.0333,25.72,81,91,10.33,YE,1722212262
176,klaksvik,62.2266,-6.589,11.51,94,100,11.45,FO,1722212263
177,saipan,15.1355,145.701,31.39,74,0,2.57,MP,1722212264
178,sinabang,2.4803,96.3801,26.14,84,100,2.09,ID,1722212265
179,fortuna,40.5982,-124.1573,18.88,70,20,5.66,US,1722212266
180,butterworth,5.3991,100.3638,27.02,87,20,2.06,MY,1722212268
181,soanierana ivongo,-16.9167,49.5833,17.44,93,9,2.12,MG,1722212269
182,bonthe,7.5264,-12.505,24.7,90,100,5.6,SL,1722212270
183,cururupu,-1.8283,-44.8683,25.09,85,20,1.88,BR,1722212271
184,iskateley,67.6803,53.1512,12.28,91,97,4.94,RU,1722212272
185,zaysan,47.4667,84.8667,22.25,52,54,2.64,KZ,1722212274
186,nova sintra,14.8667,-24.7167,25.58,82,29,5.58,CV,1722212275
187,dolores,-36.3132,-57.6792,4.91,44,0,3.07,AR,1722212276
188,kita,13.0349,-9.4895,24.55,94,92,1.91,ML,1722212277
189,lugovoye,42.9094,72.7178,23.47,33,3,3.55,KZ,1722212279
190,mhamid,29.82,-5.72,34.06,11,72,3.26,MA,1722212280
191,yemetsk,63.4721,41.7941,12.48,76,54,2.03,RU,1722212282
192,aykol,38.1751,77.2132,28.2,20,3,3.1,CN,1722212283
193,bathsheba,13.2167,-59.5167,28.34,78,20,7.72,BB,1722212284
194,zalingei,12.9096,23.4741,21.64,88,93,1.65,SD,1722212285
195,woodward,36.4337,-99.3904,37.57,33,0,8.23,US,1722212286
196,olovyannaya,50.95,115.5667,26.49,46,26,2.92,RU,1722212287
197,prince george,53.9166,-122.753,24.69,46,0,3.09,CA,1722212288
198,fale old settlement,-9.3852,-171.2468,27.25,78,74,6.74,TK,1722212289
199,nemuro,43.3236,145.575,15.97,98,100,7.87,JP,1722212290
200,ozu,33.5,132.55,30.79,69,17,1.96,JP,1722212292
201,kingston,17.997,-76.7936,30.53,79,20,6.69,JM,1722212229
202,shawano,44.7822,-88.609,26.05,89,88,2.13,US,1722212295
203,itamaraca,-7.7478,-34.8256,26.03,86,6,4.69,BR,1722212296
204,harstad,68.799,16.5293,13.23,96,89,4.92,NO,1722212297
205,el granada,37.5027,-122.4694,25.51,68,20,9.77,US,1722212299
206,burang,30.25,81.1667,9.69,93,33,0.69,CN,1722212300
207,keflavik,64.0049,-22.5624,12.24,94,100,8.23,IS,1722212301
208,almirante,9.3,-82.4,25.5,86,100,1.99,PA,1722212302
209,nyagan,62.1406,65.3936,13.52,96,44,1.0,RU,1722212303
210,hasaki,35.7333,140.8333,33.22,77,100,2.32,JP,1722212304
211,alice springs,-23.7,133.8833,9.75,57,0,5.66,AU,1722212305
212,nieuw amsterdam,5.8833,-55.0833,28.01,78,40,4.12,SR,1722212306
213,zaozersk,69.4005,32.4476,10.75,87,100,2.9,RU,1722212307
214,bikenibeu village,1.3673,173.1241,30.98,70,20,2.57,KI,1722212308
215,lazaro cardenas,17.9583,-102.2,29.91,70,27,3.65,MX,1722212309
216,pancas,-19.225,-40.8514,19.44,85,2,2.36,BR,1722212310
217,houghton,47.1219,-88.569,28.71,40,0,6.17,US,1722212199
218,hengyang,26.8881,112.615,25.59,91,100,3.52,CN,1722212313
219,hastings,50.8552,0.5729,17.1,86,29,5.18,GB,1722212267
220,awjilah,29.1081,21.2869,27.97,46,3,4.35,LY,1722212315
221,illizi,26.4833,8.4667,32.89,20,72,5.69,DZ,1722212316
222,shubarshi,48.5872,57.1869,20.17,40,38,3.92,KZ,1722212317
223,palikir - national government center,6.9248,158.1611,31.41,74,100,2.57,FM,1722212318
224,badger,64.8,-147.5333,18.14,63,40,2.06,US,1722212319
225,wellston,39.1234,-82.5329,28.94,67,62,2.9,US,1722212109
226,port blair,11.6667,92.75,28.02,89,100,1.54,IN,1722212321
227,kish,26.5578,54.0194,32.15,84,97,3.09,IR,1722212322
228,enewetak,11.3474,162.3373,27.74,76,100,2.59,MH,1722212323
229,ceeldheer,3.8488,47.1806,23.92,88,86,7.52,SO,1722212327
230,hamilton,39.1834,-84.5333,25.33,89,75,3.6,US,1722211707
231,pandan,14.0453,124.1694,28.19,75,42,2.95,PH,1722212329
232,vadso,70.0744,29.7487,13.49,82,40,8.75,NO,1722212330
233,constantia,44.1833,28.65,21.5,54,0,4.23,RO,1722212331
234,chonchi,-42.6128,-73.8092,2.56,94,54,1.14,CL,1722212333
235,at-bashi,41.1702,75.8106,15.75,70,42,0.47,KG,1722212334
236,aljezur,37.3191,-8.8033,21.03,71,84,4.01,PT,1722212335
237,adh dhibiyah,24.5014,45.9686,31.31,16,100,3.31,SA,1722212336
238,saint-francois,46.4154,3.9054,17.69,88,0,1.03,FR,1722212339
239,alotau,-10.3069,150.4462,26.16,75,54,2.09,PG,1722212340
240,alenquer,-1.9417,-54.7383,29.45,49,55,1.88,BR,1722212341
241,punta del este,-34.9667,-54.95,9.37,74,0,3.6,UY,1722212343
242,kodala,19.6333,84.95,26.26,92,100,1.26,IN,1722212345
243,kupang,-10.1667,123.5833,29.32,61,75,4.12,ID,1722212346
244,the pas,53.8251,-101.2541,22.01,64,0,2.57,CA,1722212347
245,mgandu,-5.95,34.1333,15.48,46,3,2.42,TZ,1722212348
246,byron bay,-28.65,153.6167,14.28,39,0,4.53,AU,1722212349
247,rakitovo,41.9833,24.0833,17.85,57,0,2.11,BG,1722212350
248,ancud,-41.8697,-73.8203,3.8,82,35,3.24,CL,1722212351
249,new norfolk,-42.7826,147.0587,6.62,69,14,0.99,AU,1722212354
250,nishinoomote,30.7333,131.0,29.31,89,40,5.14,JP,1722212355
